stationname,station_id,rides
Kedzie-Midway,1150.0,2790.396424815983
Clinton-Lake,1160.0,3362.3890641430075
Garfield-Dan Ryan,1170.0,2985.9616193480547
Kedzie-Brown,1180.0,1740.2870662460568
Jarvis,1190.0,1452.9258675078863
Argyle,1200.0,2795.9132492113563
Wellington,1210.0,2507.9206098843324
Fullerton,1220.0,10749.292323869611
47th-Dan Ryan,1230.0,2634.3296529968457
Addison-O'Hare,1240.0,2444.725026288118
Central-Evanston,1250.0,690.021556256572
Austin-Lake,1260.0,1589.415352260778
43rd,1270.0,871.2939011566772
Jefferson Park,1280.0,5620.533123028391
Kimball,1290.0,3443.673501577287
Loyola,1300.0,4725.165615141956
Paulina,1310.0,2341.985278654048
Belmont-North Main,1320.0,11002.87960042061
Montrose-O'Hare,1330.0,2130.5625657202945
LaSalle,1340.0,2515.5383806519453
Oak Park-Lake,1350.0,1303.358044164038
California-Lake,1360.0,895.0047318611987
Bryn Mawr,1380.0,4111.063617245005
Roosevelt,1400.0,9998.596740273397
Chicago/Milwaukee,1410.0,3445.0636172450054
Addison-North Main,1420.0,7879.060462670873
87th,1430.0,3648.799684542587
Addison-Brown,1440.0,2024.1004206098844
Chicago/State,1450.0,13351.617770767612
Irving Park-Brown,1460.0,2653.057833859096
Western-Brown,1480.0,3522.8769716088327
Harrison,1490.0,3717.6351209253417
Montrose-Brown,1500.0,2309.390115667718
Morgan-Lake,1510.0,2611.3044164037856
Lake/State,1660.0,18361.49001051525
Conservatory,1670.0,815.4416403785489
Oakton-Skokie,1680.0,702.1324921135647
Cermak-McCormick Place,1690.0,1329.792323869611
Washington/Wabash,1700.0,8227.898958333333
