stationname,station_id,rides
Austin-Forest Park,10.0,1616.4248159831757
Harlem-Lake,20.0,3199.284963196635
Pulaski-Lake,30.0,1304.0357518401681
Quincy/Wells,40.0,6031.135646687697
Davis,50.0,3190.180862250263
Belmont-O'Hare,60.0,4506.008937960042
Jackson/Dearborn,70.0,5992.73396424816
Sheridan,80.0,4637.649316508938
Damen-Brown,90.0,2349.1919032597266
Morse,100.0,4136.557833859096
35th/Archer,120.0,2580.456887486856
51st,130.0,875.2323869610935
Dempster-Skokie,140.0,1471.0231335436383
Pulaski-Cermak,150.0,970.1062039957939
LaSalle/Van Buren,160.0,2222.3007360672977
Ashland-Lake,170.0,2079.4526813880125
Oak Park-Forest Park,180.0,1457.5914826498422
Sox-35th-Dan Ryan,190.0,4195.696635120926
Randolph/Wabash,200.0,5344.600938967136
Damen-Cermak,210.0,1302.2502628811776
Western-Forest Park,220.0,1415.2181913774973
Cumberland,230.0,3719.3249211356465
79th,240.0,6074.255520504732
Kedzie-Homan-Forest Park,250.0,1820.615141955836
State/Lake,260.0,9468.33596214511
Main,270.0,1036.920084121977
Central-Lake,280.0,1765.493690851735
Ashland/63rd,290.0,991.4631966351209
Indiana,300.0,716.7297581493165
Western-Orange,310.0,3216.5804416403785
Division/Milwaukee,320.0,5123.548895899054
Grand/State,330.0,11047.130389064143
Berwyn,340.0,3006.3853838065193
UIC-Halsted,350.0,4697.593585699264
Southport,360.0,3009.4505783385907
Washington/Dearborn,370.0,10698.758675078865
Clark/Lake,380.0,16288.072555205048
Forest Park,390.0,2829.3643533123027
Noyes,400.0,752.3706624605678
Cicero-Cermak,420.0,1105.56309148265
Clinton-Forest Park,430.0,3010.18349106204
California-Cermak,440.0,1266.2754994742377
95th/Dan Ryan,450.0,8829.249737118822
Merchandise Mart,460.0,6061.674027339643
Racine,470.0,1835.5210304942166
Cicero-Lake,480.0,1146.6656151419559
Grand/Milwaukee,490.0,2363.323869610936
Garfield-South Elevated,510.0,1083.1750788643533
Foster,520.0,741.0383806519453
Diversey,530.0,4650.097791798107
Wilson,540.0,5317.307570977918
Irving Park-O'Hare,550.0,3675.811251314406
Jackson/State,560.0,8169.808622502629
California/Milwaukee,570.0,4599.849631966351
54th/Cermak,580.0,1842.1219768664564
Damen/Milwaukee,590.0,5826.6540483701365
Kostner,600.0,429.0446898002103
Ridgeland,610.0,1081.8222923238695
Clark/Division,630.0,7067.9957939011565
Madison/Wabash,640.0,358.6715328467153
North/Clybourn,650.0,5373.438485804417
Armitage,660.0,3511.215036803365
Western/Milwaukee,670.0,4486.61461619348
Adams/Wabash,680.0,6773.3096740273395
Dempster,690.0,758.677181913775
Laramie,700.0,1066.758149316509
Chicago/Franklin,710.0,5477.6650893796
East 63rd-Cottage Grove,720.0,958.2602523659306
Washington/Wells,730.0,6054.444269190326
Western-Cermak,740.0,990.596214511041
Harlem-O'Hare,750.0,2437.954258675079
Granville,760.0,3558.4968454258674
Lawrence,770.0,2961.439011566772
Central Park,780.0,1021.9674027339643
Monroe/Dearborn,790.0,6289.151945320715
Sedgwick,800.0,3250.3412197686644
Medical Center,810.0,2270.3611987381705
Rosemont,820.0,5549.41062039958
18th,830.0,1621.2234490010514
South Boulevard,840.0,656.9200841219769
Library,850.0,3132.6172450052577
Francisco,870.0,1352.3196635120926
Thorndale,880.0,2677.239221871714
O'Hare Airport,890.0,10738.111461619348
Howard,900.0,5083.123028391167
63rd-Dan Ryan,910.0,2710.3916929547845
Pulaski-Forest Park,920.0,1611.3028391167193
Midway Airport,930.0,7327.175078864353
Halsted/63rd,940.0,539.9610935856992
Pulaski-Orange,960.0,4193.685594111462
Cicero-Forest Park,970.0,1210.6713985278654
Harlem-Forest Park,980.0,1011.5862250262882
69th,990.0,4503.853312302839
Cermak-Chinatown,1000.0,4079.445320715037
Rockwell,1010.0,1507.5031545741324
Logan Square,1020.0,6244.36119873817
Polk,1030.0,2504.38643533123
Kedzie-Cermak,1040.0,943.4695057833859
Linden,1050.0,842.1419558359621
Ashland-Orange,1060.0,1365.102523659306
Kedzie-Lake,1070.0,1283.5704521556256
47th-South Elevated,1080.0,1015.9179810725552
Monroe/State,1090.0,8813.565720294428
35-Bronzeville-IIT,1120.0,1519.1403785488958
Halsted-Orange,1130.0,2218.953207150368
King Drive,1140.0,478.2870662460568
